ds_cargo,cd_municipio,nm_municipio,nr_turno,sg_uf,nr_zona,qt_secoes_agregadas,qt_aptos_tot,qt_comparecimento,qt_votos_nom_validos,qt_votos_brancos,qt_total_vt_leg_validos,qt_total_votos_anulados,qt_votos_validos,qt_votos,qt_total_votos_nulos
Conselheiro Distrital,30015,FERNANDO DE NORONHA,1,PE,4,0,3297,2299,2192,26,0,0,2192,2299,81
Deputado Distrital,97012,BRASÍLIA,1,DF,1,13,74803,61901,54706,2441,2753,0,57459,61901,1566
Deputado Distrital,97012,BRASÍLIA,1,DF,2,1,113414,91226,81100,4034,3904,0,85004,91226,1996
Deputado Distrital,97012,BRASÍLIA,1,DF,3,13,70713,59597,51295,3048,2048,0,53343,59597,1909
Deputado Distrital,97012,BRASÍLIA,1,DF,4,2,101052,82495,72419,4405,3273,0,75692,82495,2185
Deputado Distrital,97012,BRASÍLIA,1,DF,5,6,129118,106699,95314,4708,3877,0,99191,106699,2584
Deputado Distrital,97012,BRASÍLIA,1,DF,6,12,136068,110223,97501,5364,4765,0,102266,110223,2488
Deputado Distrital,97012,BRASÍLIA,1,DF,8,55,137509,111007,96000,6521,4322,0,100322,111007,3484
Deputado Distrital,97012,BRASÍLIA,1,DF,9,19,131306,108611,95584,5297,3939,0,99523,108611,3084
Deputado Distrital,97012,BRASÍLIA,1,DF,10,0,119521,99189,87397,4671,3300,0,90697,99189,2689
Deputado Distrital,97012,BRASÍLIA,1,DF,11,0,73663,62399,55419,2568,2386,0,57805,62399,1595
Deputado Distrital,97012,BRASÍLIA,1,DF,13,0,137376,113328,98852,6118,4306,0,103158,113328,3618
Deputado Distrital,97012,BRASÍLIA,1,DF,14,15,104124,87075,77138,3417,3959,0,81097,87075,2075
Deputado Distrital,97012,BRASÍLIA,1,DF,15,1,159110,133873,117996,6072,4875,0,122871,133873,3730
Deputado Distrital,97012,BRASÍLIA,1,DF,16,8,150996,123261,107563,6881,4995,0,112558,123261,3295
Deputado Distrital,97012,BRASÍLIA,1,DF,17,0,127990,104759,92019,5481,3794,0,95813,104759,2988
Deputado Distrital,97012,BRASÍLIA,1,DF,18,14,127263,104514,93505,4450,4002,0,97507,104514,2287
Deputado Distrital,97012,BRASÍLIA,1,DF,19,47,106465,88946,78935,4074,2877,0,81812,88946,2319
Deputado Distrital,97012,BRASÍLIA,1,DF,20,8,78800,65251,56842,3745,2437,0,59279,65251,1967
Deputado Distrital,97012,BRASÍLIA,1,DF,21,21,114492,93130,81486,5195,3504,0,84990,93130,2660
Deputado Estadual,00019,GUAJARÁ-MIRIM,1,RO,1,26,28155,20947,19016,401,800,0,19816,20947,269
Deputado Estadual,00035,PORTO VELHO,1,RO,2,34,104635,83847,73306,3440,3100,0,76406,83847,2496
Deputado Estadual,00035,PORTO VELHO,1,RO,6,29,87500,68003,59161,2750,3267,0,62428,68003,1728
Deputado Estadual,00035,PORTO VELHO,1,RO,20,25,85512,67819,58988,2995,2739,0,61727,67819,2029
Deputado Estadual,00035,PORTO VELHO,1,RO,21,3,71892,56207,47454,2978,2682,0,50136,56207,1738
Deputado Estadual,00051,JI-PARANÁ,1,RO,3,22,28683,21542,19475,696,886,0,20361,21542,411
Deputado Estadual,00051,JI-PARANÁ,1,RO,30,30,63647,48015,43662,1500,1774,0,45436,48015,900
Deputado Estadual,00078,ARIQUEMES,1,RO,7,11,69756,51453,45969,2195,2062,0,48031,51453,1108
Deputado Estadual,00094,CACOAL,1,RO,11,15,66495,51082,46283,1771,1962,0,48245,51082,963
Deputado Estadual,00116,PIMENTA BUENO,1,RO,9,8,26473,20378,18167,850,791,0,18958,20378,519
Deputado Estadual,00132,VILHENA,1,RO,4,34,65453,49960,43571,2648,2224,0,45795,49960,1447
Deputado Estadual,00159,JARU,1,RO,10,32,43043,30026,27189,836,1367,0,28556,30026,501
Deputado Estadual,00175,OURO PRETO DO OESTE,1,RO,13,21,30339,20945,18629,689,896,0,19525,20945,490
Deputado Estadual,00191,PRESIDENTE MÉDICI,1,RO,3,23,15598,11523,10248,406,615,0,10863,11523,223
Deputado Estadual,00213,COSTA MARQUES,1,RO,5,1,9510,6888,6298,109,351,0,6649,6888,71
Deputado Estadual,00230,COLORADO DO OESTE,1,RO,8,58,13740,9981,8766,393,589,0,9355,9981,217
Deputado Estadual,00256,ESPIGÃO DO OESTE,1,RO,12,10,23900,18241,16308,706,837,0,17145,18241,378
Deputado Estadual,00272,CEREJEIRAS,1,RO,16,12,12928,10031,8918,393,495,0,9413,10031,190
Deputado Estadual,00299,ROLIM DE MOURA,1,RO,29,26,40497,29895,26097,1435,1439,0,27536,29895,769
Deputado Estadual,00310,ALTA FLORESTA D'OESTE,1,RO,17,8,19394,14081,12448,539,751,0,13199,14081,292
Deputado Estadual,00337,ALVORADA DO OESTE,1,RO,18,43,11870,8315,7390,252,470,0,7860,8315,178
Deputado Estadual,00353,SANTA LUZIA D'OESTE,1,RO,19,12,6834,4915,4315,196,281,0,4596,4915,99
Deputado Estadual,00370,NOVA BRASILÂNDIA D'OESTE,1,RO,15,3,14084,10518,9593,283,456,0,10049,10518,176
Deputado Estadual,00396,MACHADINHO D'OESTE,1,RO,32,19,23633,16522,14876,439,938,0,15814,16522,192
Deputado Estadual,00418,SÃO MIGUEL DO GUAPORÉ,1,RO,35,0,17388,12928,11790,365,589,0,12379,12928,160
Deputado Estadual,00434,NOVA MAMORÉ,1,RO,1,9,18003,13395,11647,313,728,0,12375,13395,166
Deputado Estadual,00450,CABIXI,1,RO,8,10,4781,3592,3218,99,208,0,3426,3592,60
Deputado Estadual,00477,CANDEIAS DO JAMARI,1,RO,21,5,18894,13704,12123,434,729,0,12852,13704,240
Deputado Estadual,00493,ITAPUÃ DO OESTE,1,RO,2,0,6445,4562,4023,178,266,0,4289,4562,63
Deputado Estadual,00515,NOVO HORIZONTE DO OESTE,1,RO,15,9,6839,5437,4926,116,303,0,5229,5437,83
Deputado Estadual,00531,CASTANHEIRAS,1,RO,15,0,3075,2296,2089,61,115,0,2204,2296,28
Deputado Estadual,00558,VALE DO PARAÍSO,1,RO,28,2,6175,4441,3973,122,263,0,4236,4441,69
Deputado Estadual,00566,URUPÁ,1,RO,18,2,9542,6817,6025,240,389,0,6414,6817,120
Deputado Estadual,00574,MIRANTE DA SERRA,1,RO,28,0,9138,6527,5816,191,377,0,6193,6527,97
Deputado Estadual,00582,SERINGUEIRAS,1,RO,35,2,10067,7405,6768,170,353,0,7121,7405,104
Deputado Estadual,00590,THEOBROMA,1,RO,27,1,8054,5830,5226,113,345,0,5571,5830,97
Deputado Estadual,00604,MINISTRO ANDREAZZA,1,RO,11,7,6001,4633,4170,113,269,0,4439,4633,75
Deputado Estadual,00612,GOVERNADOR JORGE TEIXEIRA,1,RO,27,3,7422,5417,4819,135,314,0,5133,5417,89
Deputado Estadual,00620,CACAULÂNDIA,1,RO,26,2,3947,2989,2724,67,137,0,2861,2989,58
Deputado Estadual,00639,ALTO PARAÍSO,1,RO,25,2,11741,8627,7818,252,443,0,8261,8627,113
Deputado Estadual,00647,RIO CRESPO,1,RO,26,0,3322,2389,2202,41,122,0,2324,2389,22
Deputado Estadual,00655,CORUMBIARA,1,RO,16,5,5621,4405,3956,132,239,0,4195,4405,69
Deputado Estadual,00663,MONTE NEGRO,1,RO,25,1,10082,7305,6607,178,394,0,7001,7305,123
Deputado Estadual,00671,CAMPO NOVO DE RONDÔNIA,1,RO,34,0,7747,5564,5033,140,323,0,5356,5564,66
Deputado Estadual,00680,CUJUBIM,1,RO,26,2,11120,7919,7244,157,414,0,7658,7919,101
Deputado Estadual,00698,VALE DO ANARI,1,RO,32,1,6381,4739,4300,76,300,0,4600,4739,60
Deputado Estadual,00701,PARECIS,1,RO,19,0,3269,2489,2262,46,130,0,2392,2489,40
Deputado Estadual,00710,SÃO FELIPE D'OESTE,1,RO,19,13,4435,3420,3052,88,200,0,3252,3420,67
Deputado Estadual,00728,PRIMAVERA DE RONDÔNIA,1,RO,9,0,2877,2267,2044,65,104,0,2148,2267,43
